Posting_Name,Department,Application_Date_time,Referral_Source,Clean_Date,Clean_Time,Referral_Count
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 11, 2019 at 03:09 PM",BYU-Idaho Employment Website,January 11 2019,3:09 PM,1
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 11, 2019 at 06:18 PM",BYU-Idaho Employment Website,January 11 2019,6:18 PM,1
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 11, 2019 at 07:39 PM",BYU-Idaho Employment Website,January 11 2019,7:39 PM,1
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 11, 2019 at 09:36 PM",Referral by BYU-Idaho employee,January 11 2019,9:36 PM,1
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 11, 2019 at 10:37 PM",BYU-Idaho Employment Website,January 11 2019,10:37 PM,1
Languages & International Studies Faculty - TESOL - Anticipated for Fall 2019,Languages & International Studies,"January 12, 2019 at 10:27 AM",BYU-Idaho Employment Website,January 12 2019,10:27 AM,1
Psychology (Cognitive Psychology/Cognitive Science) Faculty - Anticipated for Fall 2019,Psychology,"January 12, 2019 at 12:35 PM",BYU-Idaho Employment Website,January 12 2019,12:35 PM,1
Automotive Technology Full-time Faculty - Anticipated for Fall 2019,Automotive Technology,"January 12, 2019 at 12:48 PM",Referral by BYU-Idaho employee,January 12 2019,12:48 PM,1
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 12, 2019 at 01:00 PM",BYU-Idaho Employment Website,January 12 2019,1:00 PM,1
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 12, 2019 at 01:31 PM",BYU-Idaho Employment Website,January 12 2019,1:31 PM,1
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 12, 2019 at 02:07 PM",Referral by someone other than a BYU-Idaho employee,January 12 2019,2:07 PM,1
Languages & International Studies Faculty - TESOL - Anticipated for Fall 2019,Languages & International Studies,"January 12, 2019 at 03:50 PM",BYU-Idaho Employment Website,January 12 2019,3:50 PM,1
Home and Family Full-time Faculty - (Child Development)- Anticipated for Fall 2019,Home & Family,"January 12, 2019 at 08:39 PM",BYU-Idaho Employment Website,January 12 2019,8:39 PM,1
Languages & International Studies Faculty - TESOL - Anticipated for Fall 2019,Languages & International Studies,"January 12, 2019 at 08:58 PM",BYU-Idaho Employment Website,January 12 2019,8:58 PM,1
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 12, 2019 at 10:36 PM",BYU-Idaho Employment Website,January 12 2019,10:36 PM,1
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 12, 2019 at 11:19 PM",BYU-Idaho Employment Website,January 12 2019,11:19 PM,1
Languages & International Studies Faculty - TESOL - Anticipated for Fall 2019,Languages & International Studies,"January 13, 2019 at 05:42 AM",Other,January 13 2019,5:42 AM,1
Languages & International Studies Faculty - TESOL - Anticipated for Fall 2019,Languages & International Studies,"January 13, 2019 at 07:51 AM",Referral by BYU-Idaho employee,January 13 2019,7:51 AM,1
Languages & International Studies Faculty - TESOL - Anticipated for Fall 2019,Languages & International Studies,"January 13, 2019 at 05:28 PM",BYU-Idaho Employment Website,January 13 2019,5:28 PM,1
Home and Family Full-time Faculty - (Child Development)- Anticipated for Fall 2019,Home & Family,"January 13, 2019 at 08:26 PM",BYU-Idaho Employment Website,January 13 2019,8:26 PM,1
Automotive Technology Full-time Faculty - Anticipated for Fall 2019,Automotive Technology,"January 13, 2019 at 11:59 PM",BYU-Idaho Employment Website,January 13 2019,11:59 PM,1
Home and Family Full-time Faculty - (Child Development)- Anticipated for Fall 2019,Home & Family,"January 14, 2019 at 12:20 AM",BYU-Idaho Employment Website,January 14 2019,12:20 AM,1
Languages & International Studies Faculty - TESOL - Anticipated for Fall 2019,Languages & International Studies,"January 14, 2019 at 08:12 AM",BYU-Idaho Employment Website,January 14 2019,8:12 AM,1
Languages & International Studies Faculty - TESOL - Anticipated for Fall 2019,Languages & International Studies,"January 14, 2019 at 11:52 AM",Referral by BYU-Idaho employee,January 14 2019,11:52 AM,1
Home and Family Full-time Faculty - (Child Development)- Anticipated for Fall 2019,Home & Family,"January 14, 2019 at 01:25 PM",BYU-Idaho Employment Website,January 14 2019,1:25 PM,1
Automotive Technology Full-time Faculty - Anticipated for Fall 2019,Automotive Technology,"January 14, 2019 at 04:47 PM",BYU-Idaho Employment Website,January 14 2019,4:47 PM,1
Home and Family Full-time Faculty - (Child Development)- Anticipated for Fall 2019,Home & Family,"January 14, 2019 at 05:24 PM",BYU-Idaho Employment Website,January 14 2019,5:24 PM,1
Languages & International Studies Faculty - TESOL - Anticipated for Fall 2019,Languages & International Studies,"January 14, 2019 at 05:59 PM",BYU-Idaho Employment Website,January 14 2019,5:59 PM,1
Languages & International Studies Faculty - TESOL - Anticipated for Fall 2019,Languages & International Studies,"January 14, 2019 at 06:40 PM",BYU-Idaho Employment Website,January 14 2019,6:40 PM,1
Home and Family Full-time Faculty - (Child Development)- Anticipated for Fall 2019,Home & Family,"January 14, 2019 at 08:07 PM",Facebook,January 14 2019,8:07 PM,1
Home and Family Full-time Faculty - (Child Development)- Anticipated for Fall 2019,Home & Family,"January 14, 2019 at 10:14 PM",Other,January 14 2019,10:14 PM,1
Home and Family Full-time Faculty - (Child Development)- Anticipated for Fall 2019,Home & Family,"January 15, 2019 at 08:48 AM",Referral by BYU-Idaho employee,January 15 2019,8:48 AM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 16, 2019 at 12:21 AM",Referral by BYU-Idaho employee,January 16 2019,12:21 AM,1
Psychology (Cognitive Psychology/Cognitive Science) Faculty - Anticipated for Fall 2019,Psychology,"January 16, 2019 at 10:06 PM",BYU-Idaho Employment Website,January 16 2019,10:06 PM,1
Marketing Full-time Faculty - Digital Advertising - Anticipated for Fall 2019,Marketing,"January 17, 2019 at 02:27 PM",Referral by BYU-Idaho employee,January 17 2019,2:27 PM,1
Psychology (Cognitive Psychology/Cognitive Science) Faculty - Anticipated for Fall 2019,Psychology,"January 19, 2019 at 07:48 PM",Other,January 19 2019,7:48 PM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 20, 2019 at 03:32 PM",Referral by BYU-Idaho employee,January 20 2019,3:32 PM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 20, 2019 at 08:24 PM",Referral by BYU-Idaho employee,January 20 2019,8:24 PM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 21, 2019 at 12:24 AM",BYU-Idaho Employment Website,January 21 2019,12:24 AM,1
Psychology (Cognitive Psychology/Cognitive Science) Faculty - Anticipated for Fall 2019,Psychology,"January 21, 2019 at 08:27 AM",BYU-Idaho Employment Website,January 21 2019,8:27 AM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 21, 2019 at 10:26 AM",Referral by BYU-Idaho employee,January 21 2019,10:26 AM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 21, 2019 at 03:09 PM",Other,January 21 2019,3:09 PM,1
Marketing Full-time Faculty - Digital Advertising - Anticipated for Fall 2019,Marketing,"January 21, 2019 at 05:08 PM",Referral by BYU-Idaho employee,January 21 2019,5:08 PM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 21, 2019 at 08:33 PM",Referral by BYU-Idaho employee,January 21 2019,8:33 PM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 21, 2019 at 09:37 PM",BYU-Idaho Employment Website,January 21 2019,9:37 PM,1
Marketing Full-time Faculty - Digital Advertising - Anticipated for Fall 2019,Marketing,"January 21, 2019 at 09:54 PM",Referral by BYU-Idaho employee,January 21 2019,9:54 PM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 21, 2019 at 10:01 PM",Referral by BYU-Idaho employee,January 21 2019,10:01 PM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 21, 2019 at 10:41 PM",Referral by BYU-Idaho employee,January 21 2019,10:41 PM,1
Communication Faculty  - Digital & Social Media - Anticipated for Fall 2019,Communication,"January 21, 2019 at 10:47 PM",Referral by BYU-Idaho employee,January 21 2019,10:47 PM,1
Finance Full-time Faculty - Anticipated for Fall 2019,Finance,"January 23, 2019 at 02:55 PM",BYU-Idaho Employment Website,January 23 2019,2:55 PM,1
