Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
Full-time Faculty - Academic Learning,0600058,Academic Office,0,Filled,"June 11, 2009 at 01:24 PM",39,1,Dependent on education and experience.,,,"January 27, 2014 at 06:16 PM",16.01.2009,2009-08-24
Full-time Faculty - Computer Science & Engineering,0600060,Academic Office,0,Filled,"September 22, 2009 at 02:36 PM",9,0,Dependent on Education and Experience,,,"January 27, 2014 at 06:16 PM",16.01.2009,2009-08-24
Full-time Faculty - Chemistry,0600067,Academic Office,0,Filled,"May 21, 2009 at 03:09 PM",4,0,Dependent on Education and Experience,,,"January 27, 2014 at 06:16 PM",16.01.2009,2009-08-24
Full-time Faculty - Religious Education,0600066,Academic Office,0,Filled,"May 15, 2009 at 09:41 AM",63,0,Dependent on Education and Experience,,,"January 27, 2014 at 06:16 PM",15.12.2008,2009-07-01
Sound Technician,0600026,Audio Visual Services,0,Filled,"September 02, 2008 at 02:43 PM",8,0,"$38,000/yr minimum",1,,"January 27, 2014 at 06:16 PM",31.07.2008,2008-09-01
Groundskeeper,0600016,Grounds,0,Filled,"August 15, 2008 at 09:30 AM",22,1,"$28,350/yr minimum",1,,"January 27, 2014 at 06:16 PM",09.07.2008,2008-08-01
Office Assistant I,0600075,Counseling,0,Filled,"December 20, 2008 at 12:06 PM",58,0,"Pay scale starts at $25,400/yr",1.0,,"January 27, 2014 at 06:16 PM",09.12.2008,2009-01-05
Facilities Service Center Representative,0600014,Facilities Management,0,Filled,"July 15, 2008 at 08:39 AM",44,0,"$25,870/yr minimum",1,,"January 27, 2014 at 06:16 PM",23.06.2008,2008-07-28
Online Adjunct Faculty--English (2 openings),0600083,Continuing Education,0,Filled,"February 10, 2009 at 05:10 PM",15,1,Paid $750 per course credit hour,,,"January 27, 2014 at 06:16 PM",22.01.2009,
Online Adjunct Faculty--Introduction to Business,0600088,Continuing Education,0,Filled,"April 20, 2009 at 10:04 AM",33,0,$750 per credit hour,,,"January 27, 2014 at 06:16 PM",16.03.2009,2009-04-20
Online Adjunct Faculty--Child Development,0600089,Continuing Education,0,Filled,"April 20, 2009 at 10:05 AM",17,1,$750 per credit hour,,,"January 27, 2014 at 06:16 PM",16.03.2009,2009-04-20
Custodian,0600039,Custodial Services,0,Filled,"September 26, 2008 at 08:35 AM",11,2,Pay scale starts at $11.34/hr,1,,"January 27, 2014 at 06:16 PM",21.08.2008,2008-09-15
Online Adjunct Faculty--Religion (2 openings),0600092,Continuing Education,0,Filled,"April 20, 2009 at 10:05 AM",34,0,$750 per credit hour,,,"January 27, 2014 at 06:16 PM",16.03.2009,2009-04-20
Online Adjunct Faculty--Essentials of Human Nutrition,0600091,Continuing Education,0,Filled,"April 20, 2009 at 10:05 AM",13,0,$750 per credit hour,,,"January 27, 2014 at 06:16 PM",16.03.2009,2009-04-20
Custodian,0600021,Custodial Services,0,Filled,"August 07, 2008 at 02:39 PM",8,0,$11.34/hr minimum,1,,"January 27, 2014 at 06:16 PM",14.07.2008,2008-08-01
Online Adjunct Faculty--Humanities Foundations: The Heroic Journey,0600100,Continuing Education,0,Filled,"April 20, 2009 at 10:06 AM",6,0,$750 per credit hour,,,"January 27, 2014 at 06:16 PM",16.03.2009,2009-04-20
Office Assistant I,0600030,Stores & Receiving,0,Filled,"August 22, 2008 at 09:12 AM",28,0,"$25,870/yr minimum",1.0,,"January 27, 2014 at 06:16 PM",04.08.2008,2008-08-15
Online Adjunct Faculty--English (2 openings),0600090,Continuing Education,0,Filled,"June 11, 2009 at 10:52 AM",11,0,$750 per credit hour,,,"January 27, 2014 at 06:16 PM",16.03.2009,2009-04-20
Office Assistant I,0600027,Art,0,Filled,"August 12, 2008 at 11:50 AM",23,0,$12.44/hr,.83,,"January 27, 2014 at 06:16 PM",29.07.2008,2008-08-15
Housing Complex Assistant,,Housing & Student Living,0,Filled,"May 29, 2009 at 10:56 AM",23,1,Rent reduced ($385/month) and a stipend $675/month,.50,No,"January 27, 2014 at 06:16 PM",28.04.2009,2009-05-15
Custodian,0600038,Custodial Services,0,Filled,"September 26, 2008 at 08:35 AM",9,1,Pay scale starts at $11.34/hr,1,,"January 27, 2014 at 06:16 PM",21.08.2008,2008-09-15
Registration Specialist,,Student Records & Registration,0,Filled,"October 08, 2008 at 03:45 PM",13,0,"$25,870",1,,"January 27, 2014 at 06:16 PM",04.09.2008,2008-10-01
Senior Buyer,,University Store,0,Filled,"May 29, 2009 at 10:54 AM",1,0,,1,,"January 27, 2014 at 06:16 PM",30.04.2009,
